Rooms,Area,Floor_Number,Total_Floors,Construction_Year,Is_First_Floor,Is_Last_Floor,Has_Garage,Is_Closed_Complex,District_Encoded,Construction_Type_Encoded,ext_has_gas,ext_has_tep,ext_is_luxury,ext_is_act16,Price
2,73,2,5,2027,0,0,1,0,39,5,0.0,0.0,0.0,0.0,181500
2,65,7,8,1980,0,0,1,0,35,4,0.0,1.0,0.0,0.0,129900
2,78,4,11,2025,0,0,1,1,39,5,1.0,0.0,1.0,1.0,261000
2,82,3,5,2027,0,0,1,0,39,5,0.0,0.0,0.0,0.0,210500
2,80,2,3,2026,0,0,1,0,39,5,1.0,0.0,0.0,0.0,192044
2,92,3,7,2028,0,0,1,0,39,5,0.0,0.0,0.0,0.0,257964
2,60,3,6,2027,0,0,1,0,39,5,1.0,0.0,1.0,1.0,154990
2,74,4,4,2020,0,1,1,0,39,5,1.0,0.0,0.0,0.0,294400
2,50,1,5,1980,1,0,1,0,38,4,1.0,0.0,0.0,0.0,148999
2,99,6,7,2025,0,0,1,0,38,5,1.0,0.0,0.0,0.0,253000
2,71,4,4,2024,0,1,1,0,39,5,0.0,0.0,0.0,1.0,212000
2,65,4,6,2027,0,0,1,1,39,5,1.0,0.0,0.0,0.0,189412
2,70,3,5,2025,0,0,1,0,39,5,0.0,0.0,1.0,1.0,299000
2,79,2,5,2026,0,0,1,0,39,5,1.0,0.0,0.0,0.0,197225
2,75,1,6,2028,1,0,1,0,39,5,0.0,0.0,0.0,0.0,195000
2,66,2,5,2025,0,0,1,0,39,5,0.0,0.0,1.0,0.0,294000
2,68,4,6,2025,0,0,1,0,39,5,1.0,0.0,0.0,1.0,220000
2,52,6,14,1990,0,0,1,0,35,1,0.0,0.0,0.0,0.0,131600
2,78,4,6,2027,0,0,1,0,38,5,0.0,0.0,0.0,0.0,207230
2,71,5,5,2024,0,1,1,0,39,5,0.0,0.0,0.0,1.0,212000
2,77,3,11,2025,0,0,1,0,39,5,1.0,0.0,1.0,1.0,275000
2,73,3,6,2026,0,0,1,0,39,5,0.0,0.0,1.0,1.0,195000
2,62,2,6,2026,0,0,1,0,39,5,1.0,0.0,1.0,1.0,160160
2,64,3,6,2025,0,0,1,0,39,5,1.0,0.0,1.0,1.0,222000
2,76,4,5,2008,0,0,1,0,39,5,0.0,0.0,1.0,0.0,215000
2,69,7,14,2025,0,0,1,1,39,5,0.0,0.0,0.0,1.0,217000
2,62,2,7,2026,0,0,1,1,38,5,1.0,1.0,0.0,0.0,160000
2,51,11,13,2025,0,0,1,0,36,3,1.0,1.0,1.0,0.0,139900
2,67,3,4,2023,0,0,1,0,33,5,1.0,0.0,1.0,1.0,210000
2,68,3,9,2026,0,0,1,0,38,5,0.0,1.0,0.0,0.0,161140
2,64,2,5,2019,0,0,1,0,39,5,1.0,0.0,0.0,0.0,225000
2,66,2,7,2021,0,0,1,0,39,5,1.0,0.0,1.0,1.0,249800
2,66,3,4,1960,0,0,1,0,36,5,0.0,1.0,0.0,0.0,129900
2,67,3,5,2026,0,0,1,1,39,5,1.0,0.0,1.0,0.0,195500
2,70,7,24,2025,0,0,1,0,39,5,0.0,0.0,0.0,1.0,200554
2,56,5,5,2025,0,1,1,0,39,5,1.0,0.0,0.0,0.0,220000
2,66,3,6,2028,0,0,1,0,39,5,0.0,0.0,0.0,0.0,183000
2,86,3,6,2007,0,0,1,0,44,5,1.0,1.0,1.0,0.0,363000
2,100,2,6,1993,0,0,1,0,44,5,0.0,0.0,0.0,0.0,335000
2,65,1,9,2025,1,0,1,0,40,5,0.0,0.0,0.0,0.0,142999
2,52,1,5,2020,1,0,1,0,41,5,1.0,0.0,0.0,0.0,160000
2,68,3,7,2026,0,0,1,1,43,5,1.0,0.0,1.0,1.0,147000
2,98,9,10,2025,0,0,1,0,39,5,1.0,0.0,1.0,1.0,423500
2,53,6,7,2027,0,0,1,0,43,5,1.0,0.0,1.0,1.0,125000
2,119,6,6,2002,0,1,1,0,44,5,1.0,0.0,1.0,0.0,390000
2,68,3,6,2027,0,0,1,0,42,5,0.0,0.0,0.0,0.0,132600
2,74,4,7,2026,0,0,1,0,45,5,1.0,0.0,0.0,0.0,148000
2,81,5,15,2025,0,0,1,0,39,5,1.0,0.0,0.0,0.0,272000
2,67,2,4,2026,0,0,1,1,43,5,1.0,0.0,1.0,0.0,132000
2,85,13,20,2026,0,0,1,0,39,5,0.0,0.0,1.0,1.0,394950
2,69,3,7,2027,0,0,1,0,45,5,1.0,0.0,0.0,0.0,136500
2,88,15,24,2025,0,0,1,0,39,5,0.0,0.0,0.0,1.0,262344
2,63,4,7,2028,0,0,1,1,43,5,0.0,0.0,0.0,0.0,132300
2,63,4,7,2025,0,0,1,0,44,5,1.0,1.0,0.0,0.0,263500
2,63,2,5,1970,0,0,1,0,44,5,1.0,0.0,0.0,0.0,290000
2,85,4,7,2022,0,0,1,0,39,5,0.0,0.0,1.0,1.0,340000
2,83,3,7,2028,0,0,1,1,43,5,0.0,0.0,0.0,0.0,181500
2,68,2,7,2027,0,0,1,0,43,5,1.0,0.0,1.0,1.0,143000
2,90,2,6,2026,0,0,1,0,41,5,1.0,0.0,0.0,0.0,123394
2,70,1,8,2027,1,0,1,0,43,5,0.0,0.0,0.0,0.0,125300
2,63,5,5,2024,0,1,1,0,39,5,0.0,0.0,0.0,1.0,320000
2,60,1,3,2025,1,0,1,0,44,5,0.0,0.0,0.0,0.0,310000
2,71,2,5,2025,0,0,1,0,39,5,0.0,0.0,1.0,0.0,304000
2,80,2,6,2008,0,0,1,0,47,5,0.0,1.0,0.0,1.0,185000
2,65,4,4,1970,0,1,1,0,44,5,0.0,0.0,0.0,0.0,259990
2,57,4,5,2025,0,0,1,0,41,5,1.0,0.0,0.0,0.0,149000
2,74,6,8,2026,0,0,1,0,39,5,0.0,0.0,1.0,0.0,294000
2,70,2,7,2026,0,0,1,0,43,5,0.0,1.0,0.0,1.0,148000
2,70,2,7,2026,0,0,1,0,42,5,0.0,1.0,0.0,1.0,148000
2,65,8,8,1970,0,1,1,0,46,4,1.0,0.0,0.0,0.0,124999
2,73,6,6,2025,0,1,1,0,44,5,1.0,0.0,0.0,0.0,224900
2,63,2,7,2024,0,0,1,0,44,5,0.0,1.0,1.0,1.0,283000
2,75,2,5,2026,0,0,1,0,41,5,1.0,0.0,0.0,1.0,140969
2,68,4,7,2026,0,0,1,0,45,5,1.0,0.0,0.0,1.0,136000
2,71,3,6,2025,0,0,1,0,44,5,0.0,1.0,0.0,0.0,300000
2,79,3,6,2025,0,0,1,0,39,5,0.0,0.0,1.0,1.0,320000
2,61,5,8,1980,0,0,1,0,46,4,1.0,0.0,0.0,0.0,119900
2,70,2,4,2025,0,0,1,0,101,5,0.0,0.0,0.0,1.0,175000
2,80,2,6,2012,0,0,1,0,48,5,0.0,0.0,0.0,0.0,145000
2,65,7,7,1980,0,1,1,0,52,4,0.0,0.0,0.0,0.0,136800
2,55,6,7,1980,0,0,1,0,48,5,0.0,0.0,0.0,0.0,169000
2,65,3,8,1980,0,0,1,0,52,4,0.0,0.0,0.0,0.0,130000
2,80,0,0,2026,1,1,1,0,102,5,1.0,0.0,0.0,0.0,205550
2,73,2,7,2026,0,0,1,0,55,5,0.0,0.0,0.0,0.0,122842
2,88,3,7,2026,0,0,1,0,55,5,0.0,0.0,0.0,0.0,148025
2,64,1,5,2025,1,0,1,0,101,5,0.0,0.0,0.0,1.0,160000
2,84,2,8,2026,0,0,1,1,52,5,0.0,0.0,0.0,1.0,146772
2,75,4,4,2026,0,1,1,0,102,5,0.0,0.0,0.0,1.0,222972
2,65,3,9,1980,0,0,1,0,53,4,1.0,1.0,0.0,0.0,152990
2,62,2,4,2027,0,0,1,0,56,5,0.0,0.0,0.0,0.0,127000
2,74,15,15,1980,0,1,1,0,50,1,1.0,0.0,0.0,0.0,153000
2,57,2,7,2026,0,0,1,0,53,5,1.0,1.0,1.0,0.0,110000
2,78,6,8,2026,0,0,1,0,51,5,1.0,0.0,0.0,1.0,169650
2,46,2,6,1980,0,0,1,0,52,4,0.0,0.0,0.0,0.0,90000
2,84,2,6,2028,0,0,1,0,55,5,0.0,0.0,0.0,0.0,142800
2,65,2,9,2028,0,0,1,1,52,5,0.0,1.0,0.0,1.0,114850
2,55,4,4,2028,0,1,1,0,56,5,0.0,0.0,0.0,0.0,104732
2,65,8,9,2025,0,0,1,0,55,4,1.0,0.0,0.0,0.0,147000
2,160,8,8,2025,0,1,1,0,51,5,1.0,0.0,0.0,1.0,160000
2,66,4,4,2027,0,1,1,1,56,5,0.0,0.0,1.0,0.0,129999
2,40,2,5,2000,0,0,1,0,53,5,1.0,0.0,0.0,0.0,185000
2,56,5,12,1980,0,0,1,0,51,1,0.0,0.0,0.0,0.0,135000
2,78,6,8,2026,0,0,1,0,51,5,0.0,0.0,0.0,1.0,169650
2,69,4,4,2002,0,1,1,0,101,5,0.0,0.0,1.0,0.0,219990
2,42,7,8,1980,0,0,1,0,51,4,0.0,0.0,0.0,0.0,89000
2,47,4,8,2025,0,0,1,0,48,4,0.0,1.0,0.0,0.0,129500
2,75,1,7,2025,1,0,1,0,102,5,1.0,0.0,0.0,0.0,350000
2,68,2,9,2028,0,0,1,0,48,5,0.0,0.0,1.0,0.0,138557
2,190,6,7,2026,0,0,1,0,55,5,0.0,0.0,1.0,1.0,200000
2,66,2,8,1980,0,0,1,0,53,4,1.0,1.0,0.0,0.0,158000
2,64,5,6,2026,0,0,1,0,49,5,1.0,0.0,0.0,1.0,125000
2,69,3,4,2026,0,0,1,0,56,5,1.0,0.0,1.0,0.0,118000
2,80,1,6,2012,1,0,1,0,48,5,0.0,0.0,0.0,0.0,145000
2,62,6,8,1980,0,0,1,0,49,4,0.0,0.0,0.0,0.0,134990
2,65,5,8,2025,0,0,1,0,52,4,1.0,0.0,0.0,0.0,219000
2,55,5,6,2025,0,0,1,0,54,5,1.0,0.0,1.0,0.0,149900
2,65,4,9,2026,0,0,1,0,51,5,1.0,1.0,1.0,0.0,130000
2,57,2,5,2025,0,0,1,0,56,5,0.0,0.0,0.0,0.0,157000
2,66,2,4,2027,0,0,1,0,56,5,0.0,0.0,1.0,0.0,154990
2,95,4,4,2028,0,1,1,0,56,5,0.0,0.0,0.0,0.0,145849
2,61,2,4,2026,0,0,1,1,56,5,1.0,0.0,0.0,0.0,139900
2,75,4,4,2028,0,1,1,1,56,5,1.0,0.0,1.0,0.0,140511
